IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
4049;"284    ";Oleoplan;2015.2;Licenciamento Ambiental;15,07224371;N3
4111;"181    ";Terminal Fogás;2015.2;Licenciamento Ambiental;15,07224371;N3
4567;"275    ";Porto Chibatão;2015.2;Licenciamento Ambiental;15,07224371;N3
4576;"175    ";J. F. de Oliveira - Manaus;2015.2;Licenciamento Ambiental;15,07224371;N3
4650;"224    ";Terminal Fluvial de Juruti;2015.2;Licenciamento Ambiental;15,07224371;N3
2321;"213    ";Yara Brasil Fertilizantes;2015.2;Licenciamento Ambiental;15,07224371;N3
2436;"205    ";Cattalini Terminais Marítimos;2015.2;Licenciamento Ambiental;15,07224371;N3
2594;"235    ";Sucocítrico Cutrale;2015.2;Licenciamento Ambiental;15,07224371;N3
3136;"212    ";Terbian - Terminal Bianchini;2015.2;Licenciamento Ambiental;15,07224371;N3
3608;"277    ";Chibatão Navegação e Comércio;2015.2;Licenciamento Ambiental;15,07224371;N3
3800;"160    ";Terminal Marítimo Ponte do Thun;2015.2;Licenciamento Ambiental;15,07224371;N3
1236;"165    ";Super Terminais Comércio e Indústria;2015.2;Licenciamento Ambiental;15,07224371;N3
1635;"177    ";Terminal Marítimo Ponta Ubu;2015.2;Licenciamento Ambiental;15,07224371;N3
1646;"303    ";Poly Terminais Portuários;2015.2;Licenciamento Ambiental;15,07224371;N3
1846;"217    ";Brasco Rio;2015.2;Licenciamento Ambiental;15,07224371;N3
2127;"239    ";Moinho Taquariense;2015.2;Licenciamento Ambiental;15,07224371;N3
2262;"203    ";Terminal Marítimo Dow Aratu - Bahia;2015.2;Licenciamento Ambiental;15,07224371;N3
1242;"165    ";Super Terminais Comércio e Indústria;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
3142;"212    ";Terbian - Terminal Bianchini;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
4064;"284    ";Oleoplan;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
4120;"181    ";Terminal Fogás;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
7396;"158    ";Terminal Aquaviário de São Francisco do Sul;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
8504;"152    ";Terminal de Tubarão;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
8625;"167    ";Terminal de Praia Mole;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
8874;"161    ";Estaleiro Brasfels;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
9572;"192    ";Passarão;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
9844;"193    ";Terminal Estaleiro Mauá;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
10372;"171    ";Terminal Aquaviário de Osório;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
12526;"230    ";Carinhoso;2015.2;Treinamento e Capacitação Ambiental;0,551023849;N2
16;"249    ";Terminal Marítimo Luiz Fogliatto - Termasa;2015.2;Auditoria Ambiental;6,440173894;N3
486;"226    ";Porto Itapoá Terminais Portuários;2015.2;Auditoria Ambiental;6,440173894;N3
892;"228    ";DP World Santos;2015.2;Auditoria Ambiental;6,440173894;N3
1127;"246    ";Brasco Logística Offshore;2015.2;Auditoria Ambiental;6,440173894;N3
1243;"165    ";Super Terminais Comércio e Indústria;2015.2;Auditoria Ambiental;6,440173894;N3
1754;"177    ";Terminal Marítimo Ponta Ubu;2015.2;Auditoria Ambiental;6,440173894;N3
13590;"153    ";Terminal Marítimo Privativo de Cubatão - TMPC;2015.2;Auditoria Ambiental;6,440173894;N3
12563;"286    ";NULL;2015.2;Auditoria Ambiental;6,440173894;N3
12672;"234    ";Terminal Privado Copelmi;2015.2;Auditoria Ambiental;6,440173894;N3
12699;"145    ";Terminal Aquaviário de Madre de Deus;2015.2;Auditoria Ambiental;6,440173894;N3
12744;"186    ";Terminal Aquaviário do Norte Capixaba;2015.2;Auditoria Ambiental;6,440173894;N3
13002;"326    ";Terminal Aquaviário de Barra do Riacho;2015.2;Auditoria Ambiental;6,440173894;N3
13194;"236    ";Cosan Lubrificantes e Especialidades;2015.2;Auditoria Ambiental;6,440173894;N3
11729;"169    ";Terminal Portuário Privativo da Alumar;2015.2;Auditoria Ambiental;6,440173894;N3
12130;"184    ";Terminal Aquaviário de Aracaju;2015.2;Auditoria Ambiental;6,440173894;N3
12278;"183    ";Terminal Aquaviário de Angra dos Reis;2015.2;Auditoria Ambiental;6,440173894;N3
12345;"195    ";Porto Engenheiro Zephyrino Lavanère Machado Filho;2015.2;Auditoria Ambiental;6,440173894;N3
12387;"156    ";Terminal Aquaviário da Ilha D'Água;2015.2;Auditoria Ambiental;6,440173894;N3
12493;"157    ";Terminal Aquaviário de Ilha Redonda e Terminal Aquaviário da Ilha Comprida;2015.2;Auditoria Ambiental;6,440173894;N3
10378;"171    ";Terminal Aquaviário de Osório;2015.2;Auditoria Ambiental;6,440173894;N3
10777;"201    ";Terminal Braskem;2015.2;Auditoria Ambiental;6,440173894;N3
11345;"134    ";Terminal Aquaviário de São Sebastião (Almirante Barroso);2015.2;Auditoria Ambiental;6,440173894;N3
11388;"332    ";Terminal de Regaiseficação de GNL da Bahia - TRBA;2015.2;Auditoria Ambiental;6,440173894;N3
11422;"272    ";Terminal Fluvial Caulim;2015.2;Auditoria Ambiental;6,440173894;N3
11658;"271    ";Terminal Flexível de GNL da Baía da Guanabara;2015.2;Auditoria Ambiental;6,440173894;N3
8908;"233    ";Granel Química Ladário;2015.2;Auditoria Ambiental;6,440173894;N3
8932;"161    ";Estaleiro Brasfels;2015.2;Auditoria Ambiental;6,440173894;N3
8992;"162    ";Teporti;2015.2;Auditoria Ambiental;6,440173894;N3
9498;"182    ";Terminal Integrador Portuário Luiz Antonio Mesquita - TIPLAM;2015.2;Auditoria Ambiental;6,440173894;N3
9731;"164    ";Terminal Aquaviário de Niterói;2015.2;Auditoria Ambiental;6,440173894;N3
9854;"193    ";Terminal Estaleiro Mauá;2015.2;Auditoria Ambiental;6,440173894;N3
8039;"285    ";CMPC Guaíba;2015.2;Auditoria Ambiental;6,440173894;N3
8260;"174    ";Terminal Portuário Cotegipe;2015.2;Auditoria Ambiental;6,440173894;N3
8505;"152    ";Terminal de Tubarão;2015.2;Auditoria Ambiental;6,440173894;N3
8584;"188    ";Terminal Aquaviário Solimões - Coari;2015.2;Auditoria Ambiental;6,440173894;N3
8628;"167    ";Terminal de Praia Mole;2015.2;Auditoria Ambiental;6,440173894;N3
