IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
54485;"SUA    ";"Suape ";2019;Agenda Ambiental Local;1,472197306;N3
54486;"STM    ";Santarém;2019;Quantidade e Qualidade dos Técnicos;3,540049473;N3
54487;"SUA    ";"Suape ";2019;Agenda Ambiental Institucional;0,790989479;N3
54488;"SUA    ";"Suape ";2019;Certificações Voluntárias;0;N1
54496;"SUA    ";"Suape ";2019;Papel da Autoridade Portuária;3,789571309;N5
54508;"BEL    ";Belém;2019;Papel da Autoridade Portuária;3,789571309;N5
54509;"BEL    ";Belém;2019;"Licenciamento Ambiental das Empresas ";2,722464478;N5
54510;"BEL    ";Belém;2019;PEI dos Terminais;1,516842941;N5
54511;"BEL    ";Belém;2019;Auditoria Ambiental dos Terminais;0,693282819;N5
54512;"BEL    ";Belém;2019;PGRS dos Terminais;1,020759603;N5
54513;"BEL    ";Belém;2019;Certificação das Empresas;0,014747905;N2
54514;"BEL    ";Belém;2019;Programa de EA nos Terminais;0,119717053;N3
54519;"BEL    ";Belém;2019;Promoção de Ações de EA;2,552180338;N4
54520;"BEL    ";Belém;2019;Ações de Promoção da Saúde;0,826075021;N5
54525;"BEL    ";Belém;2019;Planos de Contingência de Saúde;1,01;N4
54526;"BEL    ";Belém;2019;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
54527;"BEL    ";Belém;2019;Drenagem Pluvial;0,068742829;N2
54528;"BEL    ";Belém;2019;Ações para Redução e Reúso da Água;0,998742028;N3
54529;"BEL    ";Belém;2019;Área Dragada e de Disposição;1,235339539;N3
54530;"BEL    ";Belém;2019;Passivos Ambientais;1,235339539;N5
54535;"BEL    ";Belém;2019;Poluição Sonora;0,367268642;N3
54540;"BEL    ";Belém;2019;PGRS;7,964752347;N5
54541;"BEL    ";Belém;2019;Animais Sinantrópicos;2,935374843;N5
54542;"BEL    ";Belém;2019;Espécies Exóticas/Invasoras;0,356035959;N2
54547;"SFS    ";São Francisco do Sul;2019;Espécies Exóticas/Invasoras;0,978458281;N3
54560;"SFS    ";São Francisco do Sul;2019;Animais Sinantrópicos;2,935374843;N5
54587;"SSZ    ";"Santos ";2019;Licenciamento Ambiental;12,59039418;N3
54594;"SSZ    ";"Santos ";2019;Quantidade e Qualidade dos Técnicos;3,540049473;N3
54643;"SFS    ";São Francisco do Sul;2019;Monitoramento de Fauna e Flora;0,978458281;N3
54667;"SFS    ";São Francisco do Sul;2019;Poluição Sonora;0,367268642;N3
54743;"PNG    ";Paranaguá;2019;Prevenção de Riscos;11,56238481;N5
54744;"PNG    ";Paranaguá;2019;Ocorrência de Acidentes Ambientais;3,870120688;N5
54745;"VIX    ";Vitória;2019;Treinamento e Capacitação Ambiental;0,460290292;N2
54754;"SFS    ";São Francisco do Sul;2019;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
54763;"PNG    ";Paranaguá;2019;Base de Dados Oceano Meteorológicas;1,727190873;N3
54765;"PNG    ";Paranaguá;2019;Auditoria Ambiental;5,379711836;N3
54766;"PNG    ";Paranaguá;2019;Ações de Retirada de Resíduos do Navio;6,36;N5
54767;"PNG    ";Paranaguá;2019;Cargas Perigosas;3,181236951;N5
54771;"SFS    ";São Francisco do Sul;2019;Drenagem Pluvial;0,404970051;N5
54772;"PNG    ";Paranaguá;2019;Consumo e Eficiência no Uso de Energia;1,503026407;N3
54776;"MCZ    ";Maceió;2019;Licenciamento Ambiental;12,59039418;N3
54778;"MCZ    ";Maceió;2019;Quantidade e Qualidade dos Técnicos;0;N1
54779;"MCZ    ";Maceió;2019;Treinamento e Capacitação Ambiental;0;N1
54781;"MCZ    ";Maceió;2019;Auditoria Ambiental;1,417726452;N2
54793;"MCZ    ";Maceió;2019;Base de Dados Oceano Meteorológicas;0,45517014;N2
54802;"MCZ    ";Maceió;2019;Prevenção de Riscos;6,661841377;N4
54809;"SFS    ";São Francisco do Sul;2019;Poluentes Atmosféricos;1,101805927;N5
54816;"SFS    ";São Francisco do Sul;2019;PGRS;7,964752347;N5
54817;"MCZ    ";Maceió;2019;Ocorrência de Acidentes Ambientais;1,429044381;N4
54818;"SFS    ";São Francisco do Sul;2019;Área Dragada e de Disposição;1,235339539;N3
54820;"MCZ    ";Maceió;2019;Ações de Retirada de Resíduos do Navio;5,498752108;N4
54824;"MCZ    ";Maceió;2019;Consumo e Eficiência no Uso de Energia;0;N1
54825;"MCZ    ";Maceió;2019;Tipos de Energia Utilizados;0,449711874;N3
54827;"MCZ    ";Maceió;2019;Fornecimento de Energia para Embarcações;0;N1
54841;"MCZ    ";Maceió;2019;Internalização dos Custos Ambientais;5,970455341;N5
54848;"IBB    ";"Imbituba ";2019;Licenciamento Ambiental;12,59039418;N3
54850;"IBB    ";"Imbituba ";2019;Quantidade e Qualidade dos Técnicos;3,540049473;N3
54851;"IBB    ";"Imbituba ";2019;Treinamento e Capacitação Ambiental;1,746619828;N3
54853;"IBB    ";"Imbituba ";2019;Auditoria Ambiental;0;N1
54854;"SUA    ";"Suape ";2019;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
54855;"SUA    ";"Suape ";2019;Drenagem Pluvial;0,247696378;N4
54974;"PVH    ";"Porto Velho ";2019;Poluentes Atmosféricos;0;N1
54976;"PVH    ";"Porto Velho ";2019;Poluição Sonora;0;N1
54977;"PVH    ";"Porto Velho ";2019;Passivos Ambientais;1,235339539;N5
54978;"PVH    ";"Porto Velho ";2019;Área Dragada e de Disposição;0;N1
54985;"PVH    ";"Porto Velho ";2019;Ações para Redução e Reúso da Água;0;N1
54987;"PVH    ";"Porto Velho ";2019;Drenagem Pluvial;0,068742829;N2
54989;"PNG    ";Paranaguá;2019;Tipos de Energia Utilizados;0,449711874;N3
54996;"PNG    ";Paranaguá;2019;Fornecimento de Energia para Embarcações;0,074078302;N2
54997;"PNG    ";Paranaguá;2019;Comunicação das Ações Ambientais;0,300511017;N5
55004;"PNG    ";Paranaguá;2019;Agenda Ambiental Local;1,472197306;N3
55009;"PNG    ";Paranaguá;2019;Agenda Ambiental Institucional;0,790989479;N3
55024;"PNG    ";Paranaguá;2019;Certificações Voluntárias;0,213933629;N4
55044;"PNG    ";Paranaguá;2019;Treinamento e Capacitação Ambiental;1,746619828;N3
55076;"PNG    ";Paranaguá;2019;Papel da Autoridade Portuária;3,789571309;N5
55090;"PVH    ";"Porto Velho ";2019;Qualidade Ambiental do Corpo Hídrico;0,823647994;N4
55137;"PVH    ";"Porto Velho ";2019;Planos de Contingência de Saúde;1,02;N4
55175;"SFS    ";São Francisco do Sul;2019;Internalização dos Custos Ambientais;5,970455341;N5
55180;"MCZ    ";Maceió;2019;Comunicação das Ações Ambientais;0,089028353;N3
55181;"MCZ    ";Maceió;2019;Agenda Ambiental Local;0;N1
55182;"MCZ    ";Maceió;2019;Agenda Ambiental Institucional;0;N1
55183;"MCZ    ";Maceió;2019;Certificações Voluntárias;0,059517182;N3
55191;"MCZ    ";Maceió;2019;Papel da Autoridade Portuária;3,789571309;N5
55201;"PNG    ";Paranaguá;2019;"Licenciamento Ambiental das Empresas ";2,722464478;N5
55205;"PNG    ";Paranaguá;2019;PEI dos Terminais;1,516842941;N5
55206;"PNG    ";Paranaguá;2019;Auditoria Ambiental dos Terminais;0,693282819;N5
55209;"PNG    ";Paranaguá;2019;PGRS dos Terminais;1,020759603;N5
55210;"PNG    ";Paranaguá;2019;Certificação das Empresas;0,058319584;N3
55211;"PNG    ";Paranaguá;2019;Programa de EA nos Terminais;0,654266288;N5
55216;"PNG    ";Paranaguá;2019;Promoção de Ações de EA;4,956450125;N5
55217;"MCZ    ";Maceió;2019;PEI dos Terminais;0,803985534;N4
55218;"PNG    ";Paranaguá;2019;Ações de Promoção da Saúde;0,826075021;N5
55219;"PNG    ";Paranaguá;2019;Planos de Contingência de Saúde;1,652150042;N5
55221;"PNG    ";Paranaguá;2019;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
55228;"SUA    ";"Suape ";2019;Ações para Redução e Reúso da Água;0;N1
55311;"RIG    ";"Rio Grande ";2019;Licenciamento Ambiental;12,59039418;N3
55334;"FNO    ";Forno;2019;Licenciamento Ambiental;15,07224371;N3
55336;"FNO    ";Forno;2019;Quantidade e Qualidade dos Técnicos;2,305298777;N2
55337;"FNO    ";Forno;2019;Treinamento e Capacitação Ambiental;2,090917833;N3
55340;"FNO    ";Forno;2019;Auditoria Ambiental;6,440173894;N3
55347;"PNG    ";Paranaguá;2019;Drenagem Pluvial;0,404970051;N5
55354;"FNO    ";Forno;2019;Base de Dados Oceano Meteorológicas;0;N1
55360;"SUA    ";"Suape ";2019;Área Dragada e de Disposição;1,235339539;N3
55364;"SUA    ";"Suape ";2019;Passivos Ambientais;1,235339539;N5
55399;"RIG    ";"Rio Grande ";2019;Quantidade e Qualidade dos Técnicos;3,540049473;N3
55404;"FNO    ";Forno;2019;Prevenção de Riscos;13,15768092;N5
55406;"FNO    ";Forno;2019;Ocorrência de Acidentes Ambientais;4,404092577;N5
55418;"PET    ";Pelotas;2019;Licenciamento Ambiental;15,07224371;N3
55419;"RIG    ";"Rio Grande ";2019;Auditoria Ambiental;5,379711836;N3
55420;"RIG    ";"Rio Grande ";2019;Base de Dados Oceano Meteorológicas;1,727190873;N3
55447;"RIG    ";"Rio Grande ";2019;Ocorrência de Acidentes Ambientais;0,168073614;N2
55458;"RIG    ";"Rio Grande ";2019;Prevenção de Riscos;6,661841377;N4
55459;"MCZ    ";Maceió;2019;PGRS dos Terminais;1,020759603;N5
55460;"MCZ    ";Maceió;2019;Auditoria Ambiental dos Terminais;0,367466758;N4
55461;"MCZ    ";Maceió;2019;Certificação das Empresas;0,058319584;N3
55462;"MCZ    ";Maceió;2019;Programa de EA nos Terminais;0,030274149;N2
55471;"MCZ    ";Maceió;2019;Promoção de Ações de EA;4,956450125;N5
55472;"MCZ    ";Maceió;2019;"Licenciamento Ambiental das Empresas ";2,722464478;N5
55473;"MCZ    ";Maceió;2019;Ações de Promoção da Saúde;0,261427403;N3
55478;"MCZ    ";Maceió;2019;Planos de Contingência de Saúde;1,01;N4
55479;"RIG    ";"Rio Grande ";2019;Ações de Retirada de Resíduos do Navio;6,36;N5
55481;"RIG    ";"Rio Grande ";2019;Tipos de Energia Utilizados;0;N1
55482;"RIG    ";"Rio Grande ";2019;Fornecimento de Energia para Embarcações;0;N1
55489;"MCZ    ";Maceió;2019;Qualidade Ambiental do Corpo Hídrico;0,38227129;N3
55490;"MCZ    ";Maceió;2019;Drenagem Pluvial;0,404970051;N5
55491;"MCZ    ";Maceió;2019;Ações para Redução e Reúso da Água;0;N1
55493;"MCZ    ";Maceió;2019;Área Dragada e de Disposição;1,235339539;N3
55494;"MCZ    ";Maceió;2019;Passivos Ambientais;1,235339539;N5
55502;"MCZ    ";Maceió;2019;Poluentes Atmosféricos;1,101805927;N5
55505;"MCZ    ";Maceió;2019;Poluição Sonora;0,367268642;N3
55510;"MCZ    ";Maceió;2019;PGRS;0,72946978;N2
55514;"FNO    ";Forno;2019;Ações de Retirada de Resíduos do Navio;6,369456131;N4
55519;"MCZ    ";Maceió;2019;Monitoramento de Fauna e Flora;0,978458281;N3
55521;"FNO    ";Forno;2019;Consumo e Eficiência no Uso de Energia;1,773439708;N3
55530;"FNO    ";Forno;2019;Tipos de Energia Utilizados;0;N1
55531;"MCZ    ";Maceió;2019;Animais Sinantrópicos;2,935374843;N5
