IDRespostaAvaliador;IDResposta;IDAtributoQuestionario;IDUsuarioResposta;DSResposta;DTResposta;CDInstalacaoPortuaria;TPRespAtribQuestionario
656;54400;5780;95;NULL;2020-05-15 17:41:45.723;"PVH    ";"0         "
658;54397;5786;95;Mensura e divulga os resultados dos programas e/ou projetos de educação ambiental, tanto aqueles internos quanto aqueles externos.;2020-05-15 17:42:46.473;"PVH    ";"0         "
659;55964;5784;95;NULL;2020-05-15 17:45:31.160;"PVH    ";"0         "
661;53625;5839;95;NULL;2020-05-15 17:48:06.677;"PVH    ";"0         "
662;57058;5678;95;NULL;2020-05-15 18:12:01.753;"MCP    ";"0         "
663;57089;5706;95;NULL;2020-05-15 18:13:53.020;"MCP    ";"0         "
664;59721;5827;95;NULL;2020-05-15 20:01:13.707;"MCP    ";"0         "
665;59581;5877;4483;NULL;2020-05-16 11:14:16.453;"ADR    ";"0         "
666;59580;5881;4483;D.	A instalação portuária encaminhou as informações do GISIS (Global Integrated Shipping Information System) para a ANTAQ para atualização na IMO.;2020-05-16 11:14:16.500;"ADR    ";"0         "
667;59941;5907;4483;NULL;2020-05-16 11:15:29.080;"ADR    ";"0         "
668;59626;5996;4483;NULL;2020-05-16 11:16:33.487;"ADR    ";"0         "
669;59634;6005;4483;NULL;2020-05-16 11:17:29.000;"ADR    ";"0         "
670;59929;6013;4483;NULL;2020-05-16 11:18:04.860;"ADR    ";"0         "
671;59142;5707;4483;NULL;2020-05-16 15:31:48.873;"IGI    ";"0         "
672;59938;5737;4483;NULL;2020-05-16 15:32:18.140;"IGI    ";"0         "
673;59945;5806;4483;NULL;2020-05-16 15:32:46.063;"IGI    ";"0         "
674;59482;5831;4483;NULL;2020-05-16 15:35:03.047;"IGI    ";"0         "
675;59337;5828;4483;O PGRS está elaborado e implementado.;2020-05-16 15:35:03.063;"IGI    ";"0         "
676;59484;5843;4483;NULL;2020-05-16 15:36:01.033;"IGI    ";"0         "
677;59503;6180;4483;NULL;2020-05-16 15:41:44.050;"NTR    ";"0         "
678;59508;6186;4483;NULL;2020-05-16 15:42:51.300;"NTR    ";"0         "
679;59507;6190;4483;Há Programa de Gerenciamento de Riscos estabelecendo condições para o transporte, manuseio e armazenamento de produtos perigosos.;2020-05-16 15:42:51.330;"NTR    ";"0         "
680;59939;6216;4483;NULL;2020-05-16 15:43:10.690;"NTR    ";"0         "
681;59558;6319;4483;NULL;2020-05-16 15:43:34.363;"NTR    ";"0         "
682;59280;5701;4483;NULL;2020-05-16 15:49:29.317;"RIO    ";"0         "
683;56889;5707;4483;NULL;2020-05-16 15:50:21.880;"RIO    ";"0         "
684;56244;5711;4483;Há Programa de Gerenciamento de Riscos estabelecendo condições para o transporte, manuseio e armazenamento de produtos perigosos.;2020-05-16 15:50:21.910;"RIO    ";"0         "
685;59936;5737;4483;NULL;2020-05-16 15:51:07.050;"RIO    ";"0         "
687;59329;5843;4483;NULL;2020-05-16 15:53:05.927;"RIO    ";"0         "
688;59137;5831;4483;NULL;2020-05-16 15:53:43.520;"RIO    ";"0         "
693;52703;6794;4483;Mensura e divulga os resultados dos programas e/ou projetos de educação ambiental, tanto aqueles internos quanto aqueles externos.;2020-05-16 16:07:39.040;"134    ";"0         "
694;52705;6794;4483;Executa de modo frequente ações de conscientização e capacitação técnica dos profissionais da instalação em temas de meio ambiente e sustentabilidade;2020-05-16 16:07:39.040;"134    ";"0         "
697;52721;6827;4483;Há promoção de campanhas periódicas para incentivar o gerenciamento de resíduos gerados pela instalação e empresas que atuam na instalação.;2020-05-16 16:09:16.133;"134    ";"0         "
698;58370;6731;4483;NULL;2020-05-16 16:16:44.073;"203    ";"0         "
699;58387;6752;4483;NULL;2020-05-16 16:17:05.400;"203    ";"0         "
700;58406;6782;4483;NULL;2020-05-16 16:17:27.963;"203    ";"0         "
701;58415;6796;4483;NULL;2020-05-16 16:17:48.540;"203    ";"0         "
702;58437;6825;4483;NULL;2020-05-16 16:18:05.133;"203    ";"0         "
703;58442;6829;4483;NULL;2020-05-16 16:18:32.540;"203    ";"0         "
704;58440;6827;4483;Há promoção de campanhas periódicas para incentivar o gerenciamento de resíduos gerados pela instalação e empresas que atuam na instalação.;2020-05-16 16:18:32.587;"203    ";"0         "
705;52553;6731;4483;NULL;2020-05-16 16:22:28.793;"235    ";"0         "
706;52654;6777;4483;NULL;2020-05-16 16:24:06.480;"235    ";"0         "
707;52653;6780;4483;NULL;2020-05-16 16:24:35.090;"235    ";"0         "
708;52588;6782;4483;NULL;2020-05-16 16:25:10.167;"235    ";"0         "
709;52652;6792;4483;NULL;2020-05-16 16:26:04.590;"235    ";"0         "
710;52592;6794;4483;Mensura e divulga os resultados dos programas e/ou projetos de educação ambiental, tanto aqueles internos quanto aqueles externos.;2020-05-16 16:26:04.620;"235    ";"0         "
711;52596;6796;4483;NULL;2020-05-16 16:26:39.027;"235    ";"0         "
712;52706;6819;4483;NULL;2020-05-16 16:27:27.277;"235    ";"0         "
713;57583;6738;4483;NULL;2020-05-16 16:32:11.527;"237    ";"0         "
714;58212;6765;4483;NULL;2020-05-16 16:34:24.527;"237    ";"0         "
715;59883;6779;4483;NULL;2020-05-16 16:35:37.810;"237    ";"0         "
716;59884;6782;4483;NULL;2020-05-16 16:36:22.293;"237    ";"0         "
717;60024;6807;4483;NULL;2020-05-16 16:38:01.653;"237    ";"0         "
718;60041;6835;4483;NULL;2020-05-16 16:39:00.810;"237    ";"0         "
719;55779;6739;4483;NULL;2020-05-16 16:44:58.967;"158    ";"0         "
720;55786;6743;4483;NULL;2020-05-16 16:45:42.793;"158    ";"0         "
721;55809;6759;4483;NULL;2020-05-16 16:47:01.060;"158    ";"0         "
722;55802;6757;4483;Acompanha sistematicamente a eficiência das ações de redução por meio de indicadores.;2020-05-16 16:47:01.090;"158    ";"0         "
723;55833;6780;4483;NULL;2020-05-16 16:47:45.840;"158    ";"0         "
724;55835;6783;4483;NULL;2020-05-16 16:48:10.280;"158    ";"0         "
725;55862;6797;4483;NULL;2020-05-16 16:49:31.200;"158    ";"0         "
726;55863;6802;4483;NULL;2020-05-16 16:50:14.467;"158    ";"0         "
727;56051;6822;4483;NULL;2020-05-16 16:52:14.873;"158    ";"0         "
728;55871;6826;4483;NULL;2020-05-16 16:52:41.297;"158    ";"0         "
729;55739;6729;4483;NULL;2020-05-16 16:56:24.593;"171    ";"0         "
730;54021;6796;4483;NULL;2020-05-16 16:59:52.187;"171    ";"0         "
731;54022;6801;4483;NULL;2020-05-16 17:00:30.547;"171    ";"0         "
732;54023;6807;4483;NULL;2020-05-16 17:00:56.640;"171    ";"0         "
733;58970;6731;4483;NULL;2020-05-16 17:04:51.827;"197    ";"0         "
734;59032;6801;4483;NULL;2020-05-16 17:06:59.500;"197    ";"0         "
735;59033;6807;4483;NULL;2020-05-16 17:07:27.250;"197    ";"0         "
736;58927;6722;71;NULL;2020-05-19 13:06:02.890;"214    ";"0         "
737;59299;6732;71;NULL;2020-05-19 13:07:22.890;"214    ";"0         "
738;59301;6736;71;NULL;2020-05-19 13:08:08.123;"214    ";"0         "
739;59308;6744;71;NULL;2020-05-19 13:09:34.360;"214    ";"0         "
740;59305;6745;71;Plano de Controle de Emergência - PCE;2020-05-19 13:09:34.373;"214    ";"0         "
741;59307;6745;71;Programa de Prevenção de Riscos Ambientais - PPRA;2020-05-19 13:09:34.390;"214    ";"0         "
742;59319;6760;71;NULL;2020-05-19 13:12:24.783;"214    ";"0         "
743;59315;6757;71;Faz a avaliação da situação atual e define metas de redução do consumo de energia.;2020-05-19 13:12:24.797;"214    ";"0         "
744;59316;6757;71;Adota medidas/ações/estratégias para redução do consumo de energia.;2020-05-19 13:12:24.813;"214    ";"0         "
745;59449;6766;71;NULL;2020-05-19 13:13:05.330;"214    ";"0         "
746;59459;6783;71;NULL;2020-05-19 13:18:00.190;"214    ";"0         "
747;59460;6785;71;NULL;2020-05-19 13:18:59.427;"214    ";"0         "
748;59461;6793;71;NULL;2020-05-19 13:20:07.770;"214    ";"0         "
749;58922;6794;71;Desenvolve programas e/ou projetos de educação ambiental voltados para a comunidade externa à instalação portuária.;2020-05-19 13:20:07.817;"214    ";"0         "
750;58923;6794;71;Mensura e divulga os resultados dos programas e/ou projetos de educação ambiental, tanto aqueles internos quanto aqueles externos.;2020-05-19 13:20:07.833;"214    ";"0         "
751;58924;6794;71;Estabelece parcerias com escolas, universidades e/ou ONGS para as ações de educação ambiental internas e externas à instalação portuária;2020-05-19 13:20:07.847;"214    ";"0         "
752;58925;6794;71;Executa de modo frequente ações de conscientização e capacitação técnica dos profissionais da instalação em temas de meio ambiente e sustentabilidade;2020-05-19 13:20:07.863;"214    ";"0         "
753;59463;6804;71;NULL;2020-05-19 13:23:20.833;"214    ";"0         "
754;59471;6822;71;NULL;2020-05-19 13:25:31.943;"214    ";"0         "
755;59469;6823;71;Há monitoramento regular de gases.;2020-05-19 13:25:31.960;"214    ";"0         "
756;59470;6823;71;Há medidas de mitigação da poluição por gases e particulados.;2020-05-19 13:25:31.973;"214    ";"0         "
757;59478;6835;71;NULL;2020-05-19 13:27:39.350;"214    ";"0         "
758;59479;6840;71;NULL;2020-05-19 13:28:43.007;"214    ";"0         "
760;57914;6823;95;Há inventário ou mapa de emissões, com identificação das fontes e quantificação dos gases e/ou particulados.;2020-05-19 18:23:44.187;"576    ";"0         "
761;57915;6823;95;Há monitoramento regular de materiais particulados.;2020-05-19 18:23:44.200;"576    ";"0         "
762;57916;6823;95;Há monitoramento regular de gases.;2020-05-19 18:23:44.200;"576    ";"0         "
763;57917;6823;95;Há medidas de mitigação da poluição por gases e particulados.;2020-05-19 18:23:44.200;"576    ";"0         "
771;55990;5727;71;O orçamento destinado à área ambiental aumentou, em proporção do orçamento total da instalação, comparado ao do ano anterior.;2020-05-20 11:26:47.460;"IBB    ";"0         "
772;54850;5678;71;NULL;2020-05-20 15:50:10.160;"IBB    ";"0         "
773;54851;5681;71;NULL;2020-05-20 15:50:56.173;"IBB    ";"0         "
774;55723;5691;71;NULL;2020-05-20 15:55:59.297;"IBB    ";"0         "
775;55722;5694;71;Programa de Prevenção de Riscos Ambientais - PPRA;2020-05-20 15:55:59.530;"IBB    ";"0         "
776;55994;5723;71;NULL;2020-05-20 15:58:39.717;"IBB    ";"0         "
777;53091;5908;4564;NULL;2020-05-20 19:52:43.367;"ARB    ";"0         "
779;55754;5690;4564;NULL;2020-05-20 20:36:10.320;"SSA    ";"0         "
780;56451;5738;4564;NULL;2020-05-20 20:36:54.603;"SSA    ";"0         "
781;56514;5819;4564;NULL;2020-05-20 20:48:34.963;"SSA    ";"0         "
782;56509;5824;4564;Há monitoramento regular de gases.;2020-05-20 20:48:35.057;"SSA    ";"1         "
785;59262;6062;4564;NULL;2020-05-20 20:57:35.807;"SSO    ";"0         "
786;55687;6464;4564;NULL;2020-05-20 20:59:33.557;"PET    ";"0         "
787;55688;6469;4564;NULL;2020-05-20 21:00:13.713;"PET    ";"0         "
788;57287;6508;4564;NULL;2020-05-20 21:01:02.867;"PET    ";"0         "
789;56136;6566;4564;NULL;2020-05-20 21:01:39.697;"PET    ";"0         "
790;56079;6571;4564;NULL;2020-05-20 21:02:10.760;"PET    ";"0         "
806;56185;5844;4564;NULL;2020-05-20 21:57:53.883;"FOR    ";"0         "
807;60699;5692;71;NULL;2020-05-21 16:16:01.497;"NAT    ";"0         "
808;60696;5694;71;Programa de Prevenção de Riscos Ambientais - PPRA;2020-05-21 16:16:01.530;"NAT    ";"0         "
809;60706;5704;71;NULL;2020-05-21 16:18:39.670;"NAT    ";"0         "
810;60712;5709;71;NULL;2020-05-21 16:20:40.500;"NAT    ";"0         "
811;60716;5715;71;NULL;2020-05-21 16:21:48.343;"NAT    ";"0         "
812;60725;5726;71;NULL;2020-05-21 16:23:56.860;"NAT    ";"0         "
813;60720;5727;71;Há dotação orçamentária específica para o Núcleo Ambiental.;2020-05-21 16:23:56.873;"NAT    ";"0         "
814;60721;5727;71;É feito o acompanhamento discriminado dos custos ambientais.;2020-05-21 16:23:56.873;"NAT    ";"0         "
815;60728;5735;71;NULL;2020-05-21 16:25:23.080;"NAT    ";"0         "
816;60729;5738;71;NULL;2020-05-21 16:27:43.047;"NAT    ";"0         "
817;60730;5743;71;NULL;2020-05-21 16:28:36.953;"NAT    ";"0         "
818;60746;5775;71;NULL;2020-05-21 16:35:51.910;"NAT    ";"0         "
819;60752;5785;71;NULL;2020-05-21 16:38:10.677;"NAT    ";"0         "
820;60759;5802;71;NULL;2020-05-21 16:40:58.770;"NAT    ";"0         "
821;60768;5822;71;NULL;2020-05-21 16:45:28.383;"NAT    ";"0         "
822;60764;5824;71;Há inventário ou mapa de emissões, com identificação das fontes e quantificação dos gases e/ou particulados.;2020-05-21 16:45:28.413;"NAT    ";"0         "
823;60777;5844;71;NULL;2020-05-21 16:59:17.310;"NAT    ";"0         "
827;52904;6833;4564;NULL;2020-05-21 18:57:22.487;"131    ";"0         "
828;54394;5775;95;NULL;2020-05-22 11:10:12.287;"PVH    ";"0         "
829;55090;5802;95;NULL;2020-05-22 11:16:50.910;"PVH    ";"0         "
831;58142;6755;4564;NULL;2020-05-22 20:38:45.913;"150    ";"0         "
833;60203;6823;4564;Há monitoramento regular de gases.;2020-05-22 20:44:07.367;"152    ";"0         "
835;60519;6783;4564;NULL;2020-05-22 20:49:32.027;"167    ";"0         "
838;60171;6783;4564;NULL;2020-05-22 20:53:33.213;"152    ";"0         "
842;60247;6842;4564;NULL;2020-05-22 20:55:33.263;"152    ";"0         "
843;57283;6729;4564;NULL;2020-05-22 20:58:23.387;"155    ";"0         "
844;57284;6732;4564;NULL;2020-05-22 20:58:34.373;"155    ";"0         "
845;57286;6736;4564;NULL;2020-05-22 20:58:45.480;"155    ";"0         "
846;57288;6739;4564;NULL;2020-05-22 20:58:56.980;"155    ";"0         "
847;57295;6743;4564;NULL;2020-05-22 20:59:16.747;"155    ";"0         "
848;57309;6759;4564;NULL;2020-05-22 20:59:51.043;"155    ";"0         "
849;57346;6793;4564;NULL;2020-05-22 21:01:20.420;"155    ";"0         "
850;57348;6804;4564;NULL;2020-05-22 21:01:36.577;"155    ";"0         "
851;57349;6809;4564;NULL;2020-05-22 21:01:54.937;"155    ";"0         "
852;53246;6743;4564;NULL;2020-05-22 21:04:17.700;"175    ";"0         "
853;52893;6749;4564;NULL;2020-05-22 21:04:30.890;"175    ";"0         "
854;53220;6753;4564;NULL;2020-05-22 21:04:56.623;"175    ";"0         "
855;53245;6814;4564;NULL;2020-05-22 21:07:58.983;"175    ";"0         "
856;53259;6835;4564;NULL;2020-05-22 21:08:13.953;"175    ";"0         "
857;53260;6840;4564;NULL;2020-05-22 21:08:35.610;"175    ";"0         "
859;59070;6760;4564;NULL;2020-05-22 21:12:08.640;"188    ";"0         "
860;59089;6798;4564;NULL;2020-05-22 21:13:54.297;"188    ";"0         "
861;59093;6813;4564;NULL;2020-05-22 21:14:19.080;"188    ";"0         "
862;59104;6828;4564;NULL;2020-05-22 21:14:41.220;"188    ";"0         "
863;59118;6840;4564;NULL;2020-05-22 21:16:10.453;"188    ";"0         "
864;60414;6732;4564;NULL;2020-05-22 21:18:33.893;"192    ";"0         "
865;60422;6745;4564;Programa de Prevenção de Riscos Ambientais - PPRA;2020-05-22 21:19:32.347;"192    ";"0         "
866;60443;6760;4564;NULL;2020-05-22 21:20:12.703;"192    ";"0         "
867;60489;6796;4564;NULL;2020-05-22 21:20:44.767;"192    ";"0         "
868;60490;6804;4564;NULL;2020-05-22 21:21:35.313;"192    ";"0         "
869;54250;6736;4564;NULL;2020-05-22 21:23:29.190;"212    ";"0         "
870;57322;6760;4564;NULL;2020-05-22 21:24:00.440;"212    ";"0         "
871;54764;6741;4564;NULL;2020-05-22 22:15:58.723;"228    ";"0         "
872;54808;6766;4564;NULL;2020-05-22 22:16:29.177;"228    ";"0         "
873;54876;6810;4564;NULL;2020-05-22 22:17:15.130;"228    ";"0         "
874;53644;6729;4564;NULL;2020-05-22 22:20:27.960;"233    ";"0         "
875;53654;6742;4564;NULL;2020-05-22 22:20:45.833;"233    ";"0         "
876;59408;6760;4564;NULL;2020-05-22 22:22:19.803;"233    ";"0         "
877;59410;6793;4564;NULL;2020-05-22 22:22:56.037;"233    ";"0         "
878;53697;6829;4564;NULL;2020-05-22 22:23:39.083;"233    ";"0         "
879;56473;6728;4564;NULL;2020-05-22 22:28:50.053;"242    ";"0         "
880;56529;6732;4564;NULL;2020-05-22 22:29:08.600;"242    ";"0         "
882;56770;6771;4564;NULL;2020-05-22 22:30:30.553;"242    ";"0         "
883;56763;6772;4564;Há dotação orçamentária específica para o Núcleo Ambiental.;2020-05-22 22:30:30.570;"242    ";"0         "
884;56764;6772;4564;É feito o acompanhamento discriminado dos custos ambientais.;2020-05-22 22:30:30.600;"242    ";"0         "
885;56765;6772;4564;O orçamento destinado à área ambiental aumentou, em proporção do orçamento total da instalação, comparado ao do ano anterior.;2020-05-22 22:30:30.600;"242    ";"0         "
886;56779;6793;4564;NULL;2020-05-22 22:33:18.600;"242    ";"0         "
887;56775;6794;4564;Desenvolve programas e/ou projetos de educação ambiental voltados para a comunidade externa à instalação portuária.;2020-05-22 22:33:18.617;"242    ";"0         "
888;56778;6794;4564;Executa de modo frequente ações de conscientização e capacitação técnica dos profissionais da instalação em temas de meio ambiente e sustentabilidade;2020-05-22 22:33:18.630;"242    ";"0         "
889;56780;6799;4564;NULL;2020-05-22 22:34:04.943;"242    ";"0         "
891;56649;6741;4564;NULL;2020-05-22 22:39:21.007;"242    ";"0         "
892;56783;6812;4564;NULL;2020-05-22 22:41:05.930;"242    ";"0         "
893;56789;6822;4564;NULL;2020-05-22 22:42:02.943;"242    ";"0         "
894;56786;6823;4564;Há monitoramento regular de materiais particulados.;2020-05-22 22:42:02.960;"242    ";"0         "
895;56787;6823;4564;Há monitoramento regular de gases.;2020-05-22 22:42:02.977;"242    ";"0         "
896;56788;6823;4564;Há medidas de mitigação da poluição por gases e particulados.;2020-05-22 22:42:02.990;"242    ";"0         "
897;56797;6840;4564;NULL;2020-05-22 22:42:22.287;"242    ";"0         "
898;53481;6742;4564;NULL;2020-05-22 22:50:57.023;"275    ";"0         "
899;53491;6760;4564;NULL;2020-05-22 22:53:43.553;"275    ";"0         "
900;53731;6783;4564;NULL;2020-05-22 22:54:04.350;"275    ";"0         "
902;60846;6751;4564;NULL;2020-05-22 22:57:32.087;"284    ";"0         "
904;54388;6771;4564;NULL;2020-05-22 23:02:01.743;"284    ";"0         "
905;57171;6830;4564;NULL;2020-05-22 23:02:32.337;"284    ";"0         "
906;54417;6840;4564;NULL;2020-05-22 23:03:26.680;"284    ";"0         "
907;60794;6728;4564;NULL;2020-05-22 23:05:09.320;"285    ";"0         "
908;60797;6736;4564;NULL;2020-05-22 23:05:37.023;"285    ";"0         "
909;60845;6738;4564;NULL;2020-05-22 23:07:12.710;"285    ";"0         "
910;60917;6795;4564;NULL;2020-05-22 23:09:18.273;"285    ";"0         "
911;58049;6783;4564;NULL;2020-05-22 23:11:14.257;"297    ";"0         "
913;58501;6729;4564;NULL;2020-05-22 23:15:16.350;"338    ";"0         "
914;58544;6743;4564;NULL;2020-05-22 23:15:50.087;"338    ";"0         "
915;58551;6755;4564;NULL;2020-05-22 23:16:31.757;"338    ";"0         "
916;58612;6829;4564;NULL;2020-05-22 23:17:56.553;"338    ";"0         "
917;59179;6729;4564;NULL;2020-05-22 23:21:18.777;"357    ";"0         "
918;59210;6768;4564;NULL;2020-05-22 23:22:54.073;"357    ";"0         "
919;59219;6801;4564;NULL;2020-05-22 23:23:47.697;"357    ";"0         "
920;59684;6741;4564;NULL;2020-05-22 23:26:10.417;"169    ";"0         "
921;60324;6780;4564;NULL;2020-05-22 23:26:26.230;"169    ";"0         "
922;60333;6783;4564;NULL;2020-05-22 23:27:03.997;"169    ";"0         "
923;60298;6795;4564;NULL;2020-05-22 23:27:46.293;"169    ";"0         "
924;59872;6842;4564;NULL;2020-05-22 23:28:03.903;"169    ";"0         "
925;54323;6732;71;NULL;2020-05-25 11:50:00.913;"247    ";"0         "
926;54325;6736;71;NULL;2020-05-25 11:50:38.853;"247    ";"0         "
927;54327;6743;71;NULL;2020-05-25 11:51:28.603;"247    ";"0         "
928;53011;6745;71;Plano de Controle de Emergência - PCE;2020-05-25 11:51:28.633;"247    ";"0         "
929;53013;6745;71;Programa de Prevenção de Riscos Ambientais - PPRA;2020-05-25 11:51:28.633;"247    ";"0         "
930;60400;6753;71;NULL;2020-05-25 11:52:33.057;"247    ";"0         "
931;60402;6760;71;NULL;2020-05-25 11:53:14.243;"247    ";"0         "
932;58015;6757;71;Faz a avaliação da situação atual e define metas de redução do consumo de energia.;2020-05-25 11:53:14.243;"247    ";"0         "
933;58016;6757;71;Adota medidas/ações/estratégias para redução do consumo de energia.;2020-05-25 11:53:14.260;"247    ";"0         "
934;58017;6757;71;Acompanha sistematicamente a eficiência das ações de redução por meio de indicadores.;2020-05-25 11:53:14.260;"247    ";"0         "
935;54339;6771;71;NULL;2020-05-25 12:09:23.697;"247    ";"0         "
936;54333;6772;71;O gasto com pagamento de multas ambientais foi igual ou menor que no ano anterior.;2020-05-25 12:09:23.713;"247    ";"0         "
937;54334;6772;71;Há dotação orçamentária específica para o Núcleo Ambiental.;2020-05-25 12:09:23.727;"247    ";"0         "
938;54335;6772;71;É feito o acompanhamento discriminado dos custos ambientais.;2020-05-25 12:09:23.743;"247    ";"0         "
939;54336;6772;71;O orçamento destinado à área ambiental aumentou, em proporção do orçamento total da instalação, comparado ao do ano anterior.;2020-05-25 12:09:23.760;"247    ";"0         "
940;54340;6777;71;NULL;2020-05-25 12:10:12.977;"247    ";"0         "
941;54341;6780;71;NULL;2020-05-25 12:10:47.370;"247    ";"0         "
942;54342;6783;71;NULL;2020-05-25 12:11:14.680;"247    ";"0         "
943;54343;6784;71;NULL;2020-05-25 12:12:41.633;"247    ";"0         "
944;54348;6793;71;NULL;2020-05-25 12:13:43.103;"247    ";"0         "
945;54345;6794;71;Mensura e divulga os resultados dos programas e/ou projetos de educação ambiental, tanto aqueles internos quanto aqueles externos.;2020-05-25 12:13:43.150;"247    ";"0         "
946;54346;6794;71;Estabelece parcerias com escolas, universidades e/ou ONGS para as ações de educação ambiental internas e externas à instalação portuária;2020-05-25 12:13:43.167;"247    ";"0         "
947;54347;6794;71;Executa de modo frequente ações de conscientização e capacitação técnica dos profissionais da instalação em temas de meio ambiente e sustentabilidade;2020-05-25 12:13:43.197;"247    ";"0         "
948;54349;6799;71;NULL;2020-05-25 12:15:24.603;"247    ";"0         "
949;54350;6804;71;NULL;2020-05-25 12:16:00.633;"247    ";"0         "
950;54352;6812;71;NULL;2020-05-25 12:17:47.697;"247    ";"0         "
951;54358;6820;71;NULL;2020-05-25 12:18:57.040;"247    ";"0         "
952;54354;6823;71;Há inventário ou mapa de emissões, com identificação das fontes e quantificação dos gases e/ou particulados.;2020-05-25 12:18:57.087;"247    ";"0         "
953;54357;6823;71;Há medidas de mitigação da poluição por gases e particulados.;2020-05-25 12:18:57.103;"247    ";"0         "
955;54360;6827;71;O PGRS está elaborado e implementado.;2020-05-25 12:20:07.823;"247    ";"0         "
956;54361;6827;71;O PGRS foi aprovado pelo órgão ambiental.;2020-05-25 12:20:07.837;"247    ";"0         "
957;54362;6827;71;Há promoção de campanhas periódicas para incentivar o gerenciamento de resíduos gerados pela instalação e empresas que atuam na instalação.;2020-05-25 12:20:07.853;"247    ";"0         "
958;54363;6827;71;Existe norma com procedimento interno referente ao gerenciamento de resíduos gerados pelas áreas administrativa e operacional, incluindo os perigosos.;2020-05-25 12:20:07.853;"247    ";"0         "
959;54365;6835;71;NULL;2020-05-25 12:20:35.387;"247    ";"0         "
960;54366;6840;71;NULL;2020-05-25 12:21:14.277;"247    ";"0         "
961;54367;6843;71;NULL;2020-05-25 12:21:58.260;"247    ";"0         "
962;54368;6832;71;NULL;2020-05-25 12:22:20.090;"247    ";"0         "
966;59106;5824;95;Há inventário ou mapa de emissões, com identificação das fontes e quantificação dos gases e/ou particulados.;2020-05-26 11:20:26.843;"VDC    ";"0         "
967;59107;5824;95;Há monitoramento regular de materiais particulados.;2020-05-26 11:20:26.843;"VDC    ";"0         "
968;59108;5824;95;Há monitoramento regular de gases.;2020-05-26 11:20:26.860;"VDC    ";"0         "
969;59109;5824;95;Há medidas de mitigação da poluição por gases e particulados.;2020-05-26 11:20:26.877;"VDC    ";"0         "
970;54528;5980;95;NULL;2020-05-26 12:26:37.910;"BEL    ";"0         "
971;58702;5993;95;NULL;2020-05-26 12:28:54.253;"BEL    ";"0         "
972;54531;5994;95;Há inventário ou mapa de emissões, com identificação das fontes e quantificação dos gases e/ou particulados.;2020-05-26 12:28:54.270;"BEL    ";"0         "
973;54532;5994;95;Há monitoramento regular de materiais particulados.;2020-05-26 12:28:54.287;"BEL    ";"0         "
974;54533;5994;95;Há monitoramento regular de gases.;2020-05-26 12:28:54.287;"BEL    ";"0         "
975;54534;5994;95;Há medidas de mitigação da poluição por gases e particulados.;2020-05-26 12:28:54.300;"BEL    ";"0         "
978;52626;6023;4442;NULL;2020-05-26 15:40:21.583;"CDO    ";"0         "
979;58894;5836;95;NULL;2020-05-26 15:46:50.337;"VDC    ";"0         "
980;54435;5980;95;NULL;2020-05-26 15:57:39.477;"STM    ";"0         "
981;58696;5993;95;NULL;2020-05-26 15:58:51.760;"STM    ";"0         "
982;54423;5994;95;Há inventário ou mapa de emissões, com identificação das fontes e quantificação dos gases e/ou particulados.;2020-05-26 15:58:51.777;"STM    ";"0         "
983;54424;5994;95;Há monitoramento regular de materiais particulados.;2020-05-26 15:58:51.790;"STM    ";"0         "
984;54425;5994;95;Há monitoramento regular de gases.;2020-05-26 15:58:51.807;"STM    ";"0         "
985;54426;5994;95;Há medidas de mitigação da poluição por gases e particulados.;2020-05-26 15:58:51.823;"STM    ";"0         "
986;52544;6005;95;NULL;2020-05-26 16:08:57.433;"STM    ";"0         "
987;58308;6739;95;NULL;2020-05-26 17:33:51.533;"248    ";"0         "
988;54915;6766;95;NULL;2020-05-26 17:42:18.097;"170    ";"0         "
992;60961;6732;95;NULL;2020-05-26 19:14:06.487;"576    ";"0         "
993;60960;6729;95;NULL;2020-05-26 19:20:05.553;"576    ";"0         "
994;61171;6763;95;NULL;2020-05-26 19:22:42.100;"576    ";"0         "
995;61173;6777;95;NULL;2020-05-26 19:23:34.600;"576    ";"0         "
996;61180;6822;95;NULL;2020-05-26 19:24:05.040;"576    ";"0         "
997;61074;6826;95;NULL;2020-05-26 19:33:18.293;"576    ";"0         "
998;61007;6835;95;NULL;2020-05-26 19:33:31.277;"576    ";"0         "
999;61008;6840;95;NULL;2020-05-26 19:34:58.823;"576    ";"0         "
1000;61009;6843;95;NULL;2020-05-26 19:35:15.763;"576    ";"0         "
1001;54037;6783;95;NULL;2020-05-26 20:39:10.857;"364    ";"0         "
1002;54090;6793;95;NULL;2020-05-26 20:39:51.983;"364    ";"0         "
1003;54047;6794;95;Desenvolve programas e/ou projetos de educação ambiental voltados para a comunidade externa à instalação portuária.;2020-05-26 20:39:52.013;"364    ";"0         "
1004;54048;6794;95;Mensura e divulga os resultados dos programas e/ou projetos de educação ambiental, tanto aqueles internos quanto aqueles externos.;2020-05-26 20:39:52.030;"364    ";"0         "
1005;54049;6794;95;Estabelece parcerias com escolas, universidades e/ou ONGS para as ações de educação ambiental internas e externas à instalação portuária;2020-05-26 20:39:52.030;"364    ";"0         "
1006;54050;6794;95;Executa de modo frequente ações de conscientização e capacitação técnica dos profissionais da instalação em temas de meio ambiente e sustentabilidade;2020-05-26 20:39:52.060;"364    ";"0         "
1007;54421;6804;95;NULL;2020-05-26 20:40:37.047;"364    ";"0         "
