IDTerminal;NOTerminal
1095;Terminal Portuário Paraíso
1096;Docas Fluvial de Porto Murtinho
1097;BELOV OFF-SHORE INDUSTRIAL
1098;Porto do Alci
1099;Rampa de apoio M G Agroflorestal
1100;Porto Fortimber
1101;Navegações Unidas Tapajós LTDA
1102;Porto Prainha
1103;TUP da Salina Guanabara
1104;Registro Bertolini Miritituba
1105;Terminal Cimbagé (Intercement)
1106;RAMPA DE APOIO PARÁ TIMBER
1107;CANTEIRO MARÍTIMO DE MAPELE - ESTALEIRO BELOV
1108;RAMPA DE APOIO INDUMEX
1109;União Transportes
1110;Terminal Hidroviário de Cargas e Passageiros de Santana do Tapará
1111;Terminal Hidroviário de Cargas e Passageiros de Curuá
1112;TOP - Tapajos Operador Portuário
1113;Terminal de Granéis Líquidos do Amapá - TGLA
1114;PONTÃO SABINO COMBUSTÍVEIS
1115;WSAM LTDA. – ME
1116;Porto Irmãos Santana
1117;E B Braulio Construções LTDA
1118;Porto Silnave Santana
1119;Terminal Baía de Todos os Santos - TBTS
1120;PORTO ACARI MIRITITUBA
1121;TERMINAL DE REGASEIFICAÇÃO DE GNL DE SÃO PAULO S.A – TRSP
1122;M C Navegação
1123;Porto do DEER
1124;R MACIEL FERREIRA (Rua Nova)
1125;R MACIEL FERREIRA (Rio Branco)
1126;NEWTON W. SALOMAO - ME
1127;B. M. NAVEGACOES LTDA
1128;NEWTON W. SALOMAO (2)
1129;IP4 de Vila Amazonia
1130;Instalação Portuária Pública de Pequeno Porte – IP4 – de Alvarães
1131;Instalação Portuária Pública de Pequeno Porte – IP4 – de Japurá
1132;IP4 de Guajará-Mirim
1133;NORTE LOG LTDA
1134;JACKSON MADEIRO PINHEIRO
1135;CLP PETROLEO
1136;Pontão Souza
1137;Porto Tapajós RZ
1138;Estaleiro Maar Navegação e Terminais Ltda
1139;IP4 de Silves
1140;Porto Mamuru
1141;Porto Sales Nave
1142;Tatus I
1143;Tatus II
1144;Amazonia florestal
1145;Porto Acari Miritituba
1146;Salinor Salinas do Nordeste S.A. (Unidade Unidos)
1147;Pontão Amazônia
1148;Pontão Herison II
1149;Pontão Manaus
1150;Pontão Rio Negro V
1151;EMAM - Emulsões e Transportes LTDA
1152;Superpesa
1153;Posto Deus é Fiel II
1154;Retiro Primavera
1155;Terminal de Uso Privado e Estação de Transbordo de Cargas não perigosa - juzante barragem
1156;Porto Ze das Neves
1157;Porto de Apoio
1158;Gold Fish
1159;ARROZAL ESTALEIRO 
1160;Rampa de Apoio Mapara
1161;Posto Cidade de Portel
1162;Terminal Hidroviário Domingos de Moura Rebelo
1163;Porto São Domingos (Portel-PA)
