IDTerminal;NOTerminal
338;Porto Crai
339;Porto CPA
341;Terminal Praça Tiradentes
342;São Raimundo
343;Estaleiro Iesa Charqueadas
344;Estaleiro Quip
345;Estaleiro Erg1
346;Estaleiro Erg2
347;Areal Baronesa
348;Estaleiro Amazônia Navegações
352;Terminal de Porto Velho
353;ATEM PVH
354;Terminal Amazongás
356;Base de Caracaraí - BARAC
357;Porto Sudeste do Brasil
358;Terminal Portuário Estaleiro Brasa
359;Base Logística de Dutos
360;Flexibrás Açu
361;Porto Belo
363;Terminal Porto Sul
364;Terminal de Expedição de Grãos Portochuelo
365;Terminal Bamin
366;BTP
367;TUP Intermoor - Base de Apoio Marítimo Intermoor Açú
368;Ronav
369;Estação Cujubinzinho
370;Estação EAG - Bertolini
371;Estação Juruti
372;Estaleiro Jurong
373;Porto Norte Capixaba
374;Terminal Buritirama - Barcarena
375;Estaleiro Locar
376;Estaleiro Vard
377;Estaleiro Aliança
378;Estaleiro SRD
379;Estaleiro Barcas S/A
380;Estaleiro Chamon
381;Estaleiro Mecanavi
382;Estaleiro Strong
383;Eisa RJ
384;Estaleiro Sermetal
386;Estaleiro H P
387;TERFRON Itaituba
388;LDC São Simão
389;Socal
390;Terminal Industrial Imetame
391;G. C. Rodrigues
392;PORTO EMAPA
393;Amasa
394;Rio Matapi
395;Terminal Nov Flexibles
396;Terminal Vila do Conde
397;Terminal Petróleo Sabba Porto Velho
398;TEPOVEL
399;Petro Amazon
400;LDC Pederneiras
405;Nutripetro
406;OSX
407;Estaleiro Camorim
408;RMB
409;TUP Enseada Naval
410;Hidrovias do Brasil Miritituba
411;Estação Cianport Miritituba
412;Petrobras Distribuidora Oriximiná-Pa
413;Delima
414;Porto do Demétrio
415;J A Leite Navegação
416;H. M. Q. de Almeida Construções
417;Cruz Tavares Transportadora
418;Bertolini Itaituba
419;Posto Chada – Belém-PA
420;C V Alves – Belém-PA
421;Mil Manutenções E Comércio – Belém-PA
423;Porto Eldorado
424;Porto Praia Norte
432;Comtrol
433;Ipiranga Manaus
436;Gelcinave Navegação
445;Enaval - Engenharia Naval e Offshore
446;Porto Morrinho
447;Coari
448;Van Oord
451;Terminal MFX
452;Marcmar
453;Estaleiro ETP
455;Terminal TGSC
457;Terminal Cianport Santana
458;Estação Caramuru
459;Caramuru Alimentos São Simão
460;Terminal Portuário da Glória - TPG
461;J. F. de Oliveira Humaitá
463;Porto da Feira do Produtor Rural
464;IP4 Parintins
465;Estaleiro São Raimundo
466;Estaleiro TCE
467;TCE Serviços
469;Píer de Passageiros do Centro Histórico
484;L P Moreira de Luna
485;EBR
489;Porto da JG
490;Bravamar Serviços Marítimos Ltda
491;Britânia
494;Porto Samal
495;HRT O&G Exploração E Produção de Petróleo
497;Uote Transpetro
498;Reicon Vitória do Xingu
499;Reicon Itaituba
500;TUP Zemax
506;A.D.S. Reparos Navais
507;Balsa Vitória
508;Instalação Rudimentar L.A de Oliveira
509;Mineração Rio do Norte - Rampa de Suprimentos
510;Mineração Rio do Norte - Pátio de Toras
511;TUP CESARI
512;Volki
514;Porto Veleiro Búzios
515;Parque de Construção Submarina do Paraná
516;Transale
518;Porto Amazongás
519;Terminal de Combustíveis Marítimos do Açu - TECMA
520;Mineração Rio do Norte - Balsa Matuera
521;Porto Dinízia
522;Terminal de Múltiplo Uso 2
523;Terminal de Múltiplo Uso 3
524;Porto do Cimento
525;Unidade Misturadora de Porto Alegre 
526;Terminal Portuário Brites
527;Estaleiro VARD PROMAR
528;Píer do Centro na Praia do Canto
529;Porto Voyager
531;Ponta Negra
532;Santa Vitória do Palmar 
533;Base de Distribuição Secundária de Itaituba
535;Terminal Portuário de São Luis
536;S C Transportes LTDA
537;F. H. de Oliveira Peixoto
538;Brasil Logística Offshore e Estaleiro Naval
539;Terminal Portuário da Nuclep
540;Estaleiro Renave
541;Centro de Embarcações do Comando Militar da Amazônia
542;Instalação Portuária de Turismo
544;CAIS COMERCIAL
546;Cais Público
547;CAIS COMERCIAL 
548;Cais Público
549;Terminal de Passageiros
550;Cais Arrendado
551;Cais Público
555;Cais Comercial
556;Prysmian
557;Terminal de Granéis Líquidos
558;Cais de Paul
560;Cais de Capuaba
563;Torres Cais Público
564;Porto Cheuan
565;Armazém 01 / Galpão
566;Terminal de Grãos
567;Pátio 2 
568;Pátio 3/4
569;Terminal de Graneis Sólidos 
570;Armazém 05
571;Armazém 06
572;Terminal Marítimo de Passageiros (Armazém 7) 
573;Terminal Marítimo de Passageiros (Armazém 8) 
574;Armazém 09
575;Armazém 10
576;Terminal CCPN
577;Terminal de Passageiros
578;Terminal de Óleo
579;TGL 3
580;TGL 2 (Sabbá)
581;TGL 1
582;Rampa Ro-Ro
583;Terminal de Múltiplo Uso -1
584;Terminal de Granel Líquido
585;Companhia Brasileira de Asfalto da Amazônia
586;Ilha do Príncipe
587;TVV
588;Peiú
589;TESC
590;Belo Monte Logística de Terminal
591;Terminal Ilha do Governador
592;Nidera Sementes 
593;Terminal de Embarque Marítimo da Salina Diamante Branco
595;Porto Encontro das Águas
596;Brasbunker
597;Cais Público
598;PIER 01
599;PIER 02
600;Terminal de Açúcar - TA
601;Armazém 11
602;Armazém 12
603;Armazém 13
604;Armazém 14
605;Armazém 15
606;PIER 01
607;PIER 02
608;CMO Construção e Montagem Offshore S/A
609;Peixaria Matrinxa
610;Estaleiro Rio Tietê
611;Aquavia
612;CAÍS PÚBLICO
613;CORREDOR DE EXPORTAÇÃO
614;CAIS FERTILIZANTE
615;PIER DA FOSPAR
616;PIER DA PETROBRAS
617;TCP
618;TECHINT
619;Sea Wolf Soluções Marítimas
620;Cais de Múltiplos Usos - CMU
621;Píer de Graneis Líquidos 1
622;Píer de Graneis Líquidos 3A
623;Cais 1
624;Cais 4
625;Bacia de Evolução - Porto Externo
